series_1,series_2
0.2294,0.684
0.233,0.69
0.2305,0.683
0.2302,0.681
0.2281,0.676
0.2255,0.669
0.2264,0.669
0.227,0.67
0.2276,0.671
0.2263,0.672
0.2262,0.669
0.2261,0.674
0.2263,0.679
0.2271,0.687
0.2266,0.689
0.2259,0.681
0.2266,0.689
0.225,0.681
0.2267,0.683
0.2238,0.673
0.2252,0.678
0.226,0.681
0.2254,0.681
0.2258,0.678
0.2286,0.691
0.2287,0.693
0.2271,0.692
0.2291,0.698
0.2314,0.708
0.2314,0.71
0.2307,0.705
0.2303,0.704
0.2288,0.697
0.2303,0.701
0.2325,0.703
0.2311,0.699
0.2319,0.706
0.2322,0.705
0.2316,0.702
0.2297,0.704
0.2325,0.708
0.2328,0.712
0.231,0.705
0.2337,0.706
0.2342,0.708
0.2357,0.71
0.2344,0.706
0.2319,0.702
0.2318,0.702
0.2337,0.704
0.2328,0.701
0.2304,0.695
0.2309,0.698
0.234,0.706
0.237,0.696
0.2375,0.698
0.2365,0.704
0.2356,0.697
0.232,0.694
0.2324,0.697
0.2315,0.701
0.2328,0.703
0.2328,0.701
0.2323,0.701
0.2326,0.703
0.2333,0.7
0.235,0.696
0.2338,0.694
0.2341,0.693
0.2319,0.689
0.235,0.692
0.2359,0.695
0.2368,0.698
0.233,0.693
0.2313,0.687
0.2337,0.694
0.2349,0.703
0.2338,0.709
0.2339,0.719
0.2353,0.721
0.2349,0.719
0.2369,0.726
0.237,0.72
0.2355,0.71
0.2249,0.69
0.2231,0.688
0.2228,0.682
0.2231,0.686
0.2224,0.689
0.2194,0.673
0.222,0.68
0.2218,0.677
0.2208,0.675
0.2203,0.674
0.2211,0.675
0.2215,0.674
0.2211,0.677
0.2223,0.679
0.2224,0.671
0.222,0.678
0.2213,0.68
0.221,0.678
0.2202,0.672
0.2234,0.681
0.2252,0.691
0.2245,0.694
0.2275,0.707
0.2255,0.704
0.2267,0.708
0.2235,0.695
0.2207,0.684
0.2179,0.679
0.2135,0.662
0.2166,0.671
0.216,0.663
0.2169,0.668
0.2181,0.668
0.216,0.659
0.216,0.66
0.2153,0.655
0.2158,0.654
0.2143,0.646
0.215,0.646
0.2163,0.652
0.2169,0.653
0.2167,0.655
0.2144,0.649
0.2154,0.653
0.2152,0.652
0.2149,0.648
0.2136,0.649
0.2153,0.653
0.2154,0.649
0.2149,0.649
0.2159,0.648
0.2182,0.655
0.2179,0.654
0.2173,0.653
0.2163,0.652
0.2151,0.651
0.2136,0.644
0.215,0.647
0.2154,0.646
0.2156,0.647
0.2163,0.649
0.2167,0.65
0.2165,0.65
0.2168,0.653
0.2172,0.654
0.2152,0.649
0.2152,0.642
0.2148,0.64
0.2139,0.638
0.2153,0.641
0.2171,0.645
0.2166,0.642
0.2173,0.642
0.2156,0.639
0.2145,0.636
0.2158,0.639
0.2151,0.639
0.2149,0.638
0.2161,0.641
0.2155,0.637
0.2149,0.636
0.2115,0.627
0.2124,0.627
0.2133,0.629
0.2147,0.633
0.2148,0.636
0.2156,0.641
0.2158,0.64
0.2161,0.639
0.2161,0.639
0.2155,0.638
0.2151,0.636
0.2148,0.636
0.2145,0.636
0.2151,0.639
0.2148,0.638
0.2149,0.639
0.2145,0.64
0.2151,0.642
0.2141,0.64
0.2145,0.64
0.2148,0.638
0.214,0.637
0.2146,0.639
0.2147,0.64
0.2148,0.638
0.2144,0.638
0.2136,0.635
0.2133,0.639
0.2128,0.634
0.2089,0.618
0.2074,0.615
0.2099,0.62
0.2091,0.62
0.2093,0.62
0.2079,0.615
0.2082,0.616
0.209,0.618
0.2083,0.614
0.2094,0.618
0.21,0.622
0.2104,0.624
0.2096,0.62
0.2104,0.623
0.213,0.629
0.2125,0.628
0.215,0.628
0.2142,0.628
0.216,0.635
0.2169,0.642
0.2165,0.643
0.2141,0.636
0.2133,0.632
0.214,0.634
0.2124,0.63
0.2136,0.635
0.2138,0.635
0.2145,0.635
0.2146,0.634
0.2147,0.636
0.2165,0.638
0.2158,0.635
0.2155,0.633
0.2144,0.632
0.2136,0.63
0.2144,0.632
0.2149,0.633
0.2141,0.631
0.2148,0.635
0.2145,0.634
0.2146,0.633
0.2135,0.631
0.2123,0.629
0.2119,0.632
0.2139,0.634
0.2154,0.635
0.217,0.636
0.2178,0.637
0.2206,0.64
0.2237,0.644
0.2235,0.645
0.2221,0.642
0.2226,0.647
0.2238,0.648
0.2234,0.646
0.2226,0.649
0.2215,0.648
0.2215,0.647
0.2211,0.644
0.2229,0.646
0.2226,0.645
0.2251,0.645
0.2269,0.647
0.2267,0.638
0.2261,0.638
0.2358,0.639
0.2372,0.638
0.2322,0.624
0.2328,0.629
0.2323,0.63
0.231,0.633
0.2341,0.634
0.2288,0.631
0.2257,0.632
0.225,0.631
0.2248,0.626
0.2242,0.627
0.2248,0.629
0.2246,0.634
0.2258,0.634
0.2272,0.637
0.2278,0.645
0.2297,0.648
0.2278,0.647
0.2258,0.646
0.2272,0.649
0.2263,0.649
0.2301,0.669
0.2322,0.684
0.2346,0.694
0.2331,0.699
0.2363,0.711
0.2413,0.705
0.2434,0.702
0.2397,0.707
0.2433,0.713
0.2481,0.718
0.247,0.712
0.246,0.71
0.2443,0.709
0.2446,0.712
0.2461,0.717
0.2435,0.711
0.24,0.71
0.2424,0.715
0.2403,0.707
0.2398,0.706
0.2412,0.71
0.2398,0.706
0.2416,0.715
0.2418,0.719
0.2422,0.725
0.2394,0.724
0.2332,0.703
0.2225,0.668
0.2223,0.667
0.2236,0.671
0.2265,0.675
0.2266,0.675
0.2285,0.686
0.2285,0.683
0.2309,0.679
0.2331,0.678
0.2311,0.675
0.2314,0.677
0.2327,0.678
0.2328,0.683
0.2373,0.691
0.2372,0.688
0.2399,0.691
0.2398,0.689
0.2407,0.687
0.239,0.686
0.2388,0.685
0.239,0.68
0.2385,0.681
0.2372,0.679
0.2393,0.678
0.2498,0.681
0.2454,0.679
0.243,0.677
0.24,0.675
0.2383,0.675
0.2384,0.679
0.2361,0.676
0.2355,0.675
0.2336,0.671
0.2317,0.667
0.2332,0.669
0.2334,0.673
0.2357,0.674
0.2346,0.674
0.2345,0.674
0.2358,0.679
0.2345,0.675
0.2348,0.685
0.2351,0.687
0.2355,0.695
0.2358,0.709
0.235,0.704
0.233,0.698
0.2343,0.706
0.2326,0.693
0.2312,0.677
0.2313,0.677
0.2329,0.685
0.2328,0.684
0.2314,0.681
0.2314,0.686
0.2335,0.699
0.2389,0.729
0.2435,0.747
0.2452,0.797
0.2416,0.79
0.2474,0.791
0.2481,0.789
0.2521,0.797
0.2514,0.768
0.2482,0.764
0.251,0.752
0.26,0.748
0.2556,0.756
0.2629,0.763
0.2618,0.764
